:dove: | A9A4A0
:rabbit2: | A5A5A5
:raccoon: | 909494
:skunk: | 6B7883
:badger: | 78838D
:beaver: | 9C7470
:otter: | 998983
:sloth: | 917F73
:mouse2: | 917F73
:rat: | 727071
:chipmunk: | A1734E
:hedgehog: | A07154
:feet: | 7A6346
:dragon: | 639050
:dragon_face: | 7D9C5B
:phoenix: | AD7945
:cactus: | 709A5D
:christmas_tree: | 7D895D
:evergreen_tree: | 5B8053
:deciduous_tree: | 5C8033
:palm_tree: | 84763D
:wood: | 926846
:seedling: | 7D8E4B
:herb: | 718E5E
:shamrock: | 6B984E
:four_leaf_clover: | 739A4C
:bamboo: | 88A06A
:potted_plant: | 8D7F52
:tanabata_tree: | 817039
:leaves: | 96A771
:fallen_leaf: | BA8069
:maple_leaf: | C85C5F
:nest_with_eggs: | A28C79
:empty_nest: | A9865E
:mushroom: | CA888E
:brown_mushroom: | C78E7A
:shell: | B5BCC3
:coral: | C1867A
:rock: | B1B5BA
:ear_of_rice: | 958F54
:bouquet: | A27E40
:tulip: | B98F86
:rose: | 9B6967
:wilted_rose: | A58B6E
:hyacinth: | 8876A3
:lotus: | D28B93
:hibiscus: | D0939A
:cherry_blossom: | D69CA3
:blossom: | C1BBB4
:sunflower: | C09667
:sun_with_face: | E5AD4D
:full_moon_with_face: | E0BF78
:first_quarter_moon_with_face: | D8B976
:last_quarter_moon_with_face: | C3A666
:new_moon_with_face: | 6A7174
:full_moon: | E9C471
:waning_gibbous_moon: | E5C272
:last_quarter_moon: | BBA579
:waning_crescent_moon: | 86847E
:new_moon: | 626B79
:waxing_crescent_moon: | 847F76
:first_quarter_moon: | BCA477
:waxing_gibbous_moon: | E5C171
:crescent_moon: | D3BF82
:earth_americas: | 81B4C3
:earth_africa: | 73ADB9
:earth_asia: | 78ACB5
:ringed_planet: | D1925D
:dizzy: | CA953B
:star: | E29E3A
:star2: | E19C3D
:sparkles: | CE8D20
:zap: | DCA060
:comet: | 8DB4D9
:boom: | BF6F49
:fire: | DE9A37
:cloud_tornado: | 938F8B
:rainbow: | B37E63
:sunny: | CF8B30
:white_sun_small_cloud: | D3B48F
:partly_sunny: | D5BFAE
:white_sun_cloud: | CFC3BF
:cloud: | C7CCCF
:white_sun_rain_cloud: | C0BEBC
:cloud_rain: | B8C6CF
:thunder_cloud_rain: | C8C4C4
:cloud_lightning: | D0CBCA
:cloud_snow: | B4B8C1
:snowflake: | 7395B0
:snowman2: | ADA6A8
:snowman: | B8B0AD
:wind_blowing_face: | A6B8BA
:dash: | A7C7DC
:droplet: | 66A6D9
:sweat_drops: | 599FCE
:bubbles: | 8FB2D3
:umbrella: | 7773A5
:umbrella2: | 7869AB
:ocean: | 69A1D1
:fog: | D1DADF

:green_apple: | 7DA152
:apple: | C64E47
:pear: | A5B375
:tangerine: | D98C20
:lemon: | DEB546
:lime: | 9EB162
:banana: | DBBD7C
:watermelon: | BF7B69
:grapes: | 8861A9
:strawberry: | AB4D57
:blueberries: | 686A8A
:melon: | 91B974
:cherries: | 976936
:peach: | DE7B5A
:mango: | D8644C
:pineapple: | B79D58
:coconut: | A39A8B
:kiwi: | A09865
:tomato: | C54243
:eggplant: | 7D558F
:avocado: | 84A271
:pea_pod: | 7B9D47
:broccoli: | 5F7A2B
:leafy_green: | 75A04E
:cucumber: | 769D4B
:hot_pepper: | B5614C
:bell_pepper: | 749D57
:corn: | B39D4E
:carrot: | CC8225
:olive: | 7A8363
:garlic: | C4C3C0
:onion: | D4B588
:potato: | CC9679
:sweet_potato: | D49260
:ginger_root: | DD9A61
:croissant: | E09242
:bagel: | C58F79
:bread: | E0B890
:french_bread: | D6A36A
:pretzel: | D38837
:cheese: | EFA94B
:egg: | E0C3B0
:cooking: | AA9C97
:butter: | D3B78B
:pancakes: | D69E6F
:waffle: | DBA06A
:bacon: | D17F73
:cut_of_meat: | C38F6F
:poultry_leg: | B87854
:meat_on_bone: | B66E50
:bone: | CDB88B
:hotdog: | D48B70
:hamburger: | C19474
:fries: | D77E50
:pizza: | DC9647
:flatbread: | D6A266
:sandwich: | DDAD58
:stuffed_flatbread: | DDAD58
:falafel: | AF7859
:taco: | E1A45B
:burrito: | C9A77F
:tamale: | D9B777
:salad: | A19F86
:shallow_pan_of_food: | C08D63
:fondue: | A36C62
:canned_food: | B9AC79
:jar: | BFB3A5
:spaghetti: | CEAD93
:ramen: | CEA486
:stew: | 9F9273
:curry: | CCB5A3
:sushi: | B68783
:bento: | A77E6F
:dumpling: | DAB56E
:oyster: | DAB56E
:fried_shrimp: | E59962
:rice_ball: | BEBDB7
:rice: | C7AFAE
:rice_cracker: | A3695F
:fish_cake: | D1C2CD
:fortune_cookie: | E0A46D
:moon_cake: | AF6F30
:oden: | B89A91
:dango: | CEB799
:shaved_ice: | C1A8C3
:ice_cream: | A0A1B8
:icecream: | E6C081
:pie: | D89348
:cupcake: | D5BFA3
:cake: | E2C8B1
:birthday: | DC9796
:custard: | CDA88D
:lollipop: | D78148
:candy: | C77C7D
:chocolate_bar: | BF8689
:popcorn: | D6AA9B
:doughnut: | B07758
:cookie: | C68D71
:chestnut: | B06049
:peanuts: | C6876D
:beans: | BA6649
:honey_pot: | E4A252
:milk: | CBC8C9
:pouring_liquid: | B1A0A4
:baby_bottle: | ABB5C0
:teapot: | 6E87AA
:coffee: | BDB6B5
:tea: | ABBAA1
:mate: | A27A69
:beverage_box: | E6B76D
:cup_with_straw: | A4B6CE
:bubble_tea: | B4ABAC
:sake: | 9BB4CD
:beer: | E0B57C
:beers: | E0B57C
:champagne_glass: | CBB386
:wine_glass: | A49398
:tumbler_glass: | C7B1A2
:cocktail: | ACACAF
:tropical_drink: | B29879
:champagne: | A19E8B
:ice_cube: | A8C4CC
:spoon: | 8798A1
:fork_and_knife: | 91999D
:fork_knife_plate: | C5CAD0
:bowl_with_spoon: | A17A76
:takeout_box: | B9A8B0
:chopsticks: | A56C6C
:salt: | C3C8CC

:soccer: | B2AFAE
:basketball: | C07936
:football: | 8C6B65
:baseball: | CFC5C4
:softball: | D2CB61
:tennis: | 9BBE7F
:volleyball: | BEC7C9
:rugby_football: | BEC5D0
:flying_disc: | BEC5D0
:8ball: | 857472
:yo_yo: | C24050
:ping_pong: | C45654
:badminton: | 77818E
:hockey: | 9B6E12
:field_hockey: | 9B6E12
:lacrosse: | 79655D
:cricket_game: | B37C5C
:boomerang: | B0866E
:goal: | A4928B
:golf: | 928A59
:kite: | 4D86BA
:playground_slide: | BF775A
:bow_and_arrow: | 95797B
:fishing_pole_and_fish: | 64809D
:diving_mask: | 8D9193
:boxing_glove: | BB746F
:martial_arts_uniform: | B7BBC1
:running_shirt_with_sash: | 8CAAC5
:skateboard: | A5728A
:roller_skate: | 9A94AE
:sled: | CAB4B4
:ice_skate: | CBC1BB
:curling_stone: | 78778A
:ski: | 95A5C1
:skier: | A4B3CB
:snowboarder: | A2A3B7
:parachute: | AA616E
:person_lifting_weights: | BF7E3C
:woman_lifting_weights: | BA7A3C
:man_lifting_weights: | 968F7A
:people_wrestling: | BE8F54
:women_wrestling: | B38768
:men_wrestling: | A29666
:person_doing_cartwheel: | BD8431
:woman_cartwheeling: | B3774B
:man_cartwheeling: | 8A9273
:person_bouncing_ball: | C58648
:woman_bouncing_ball: | BB7D48
:man_bouncing_ball: | 9F8C74
:person_fencing: | 84919C
:person_playing_handball: | B4855E
:woman_playing_handball: | A77146
:man_playing_handball: | 807767
:person_golfing: | BE9C81
:woman_golfing: | BA9F8C
:man_golfing: | 809888
:horse_racing: | 997B6A
:person_in_lotus_position: | C99864
:woman_in_lotus_position: | C59874
:man_in_lotus_position: | A89D54
:person_surfing: | 8B8C8B
:woman_surfing: | 869897
:man_surfing: | 849598
:person_swimming: | AAA1A7
:woman_swimming: | A99EA5
:man_swimming: | AAAEB1
:person_playing_water_polo: | AA9FAD
:woman_playing_water_polo: | 9D9AAE
:man_playing_water_polo: | 9EA9AE
:person_rowing_boat: | 8A96A6
:woman_rowing_boat: | 858FB4
:man_rowing_boat: | 8B94B1
:person_climbing: | 9B989A
:woman_climbing: | 9C9596
:man_climbing: | 94958E
:person_mountain_biking: | A2A573
:woman_mountain_biking: | 9AA06D
:man_mountain_biking: | 85A485
:person_biking: | 98785D
:woman_biking: | 986A55
:man_biking: | 94918F
:trophy: | D5AA68
:first_place: | B7988B
:second_place: | A1B2C7
:third_place: | B997A1
:medal: | C5AC9F
:military_medal: | CC9882
:rosette: | EF9E37
:reminder_ribbon: | DEAC55
:ticket: | B7BDC3
:tickets: | C65665
:circus_tent: | BA989B
:person_juggling: | CF9B5B
:woman_juggling: | C59A72
:man_juggling: | B7A75C
:performing_arts: | ABACAF
:ballet_shoes: | D98FA1
:art: | BF8E75
:clapper: | 7B8678
:microphone: | 4B677A
:headphones: | 4C7192
:musical_score: | 626E76
:musical_keyboard: | 969A9C
:maracas: | BB936F
:drum: | C78F82
:long_drum: | B3745B
:saxophone: | D59F56
:trumpet: | CE9254
:accordion: | C18D7B
:guitar: | B5938B
:banjo: | AEA49C
:violin: | B28466
:flute: | AF9775
:game_die: | B9708B
:chess_pawn: | 6C6685
:dart: | C395AA
:bowling: | 767D94
:video_game: | 5E7086
:slot_machine: | 979CAA
:jigsaw: | 73A486

:red_car: | B4677C
:taxi: | B89E85
:blue_car: | 7490AF
:pickup_truck: | B66D7E
:minibus: | 9DABBE
:bus: | 7F97AA
:trolleybus: | 94A9A4
:race_car: | A89082
:police_car: | 989AA4
:ambulance: | B3ACB9
:fire_engine: | BD8189
:truck: | C1A7A4
:articulated_lorry: | 94A67E
:tractor: | 859670
:probing_cane: | 9A7F58
:manual_wheelchair: | 531F1A
:motorized_wheelchair: | 5D383A
:crutch: | 7F5D5B
:scooter: | 6C6F8B
:bike: | 815063
:motor_scooter: | 8E5D74
:motorcycle: | 678066
:auto_rickshaw: | 867338
:wheel: | 7B706A
:rotating_light: | C16A7A
